Hits,eCount,FireRate1,ShotSpeed1,Health1,FireRate2,ShotSpeed2,Health2,FireRate3,ShotSpeed3,Health3,FireRate4,ShotSpeed4,Health4,FireRate5,ShotSpeed5,Health5,FireRate6,ShotSpeed6,Health6
2,2,120.0,0.2449859,12,118.0,0.1456193,26,0,0,0,0,0,0,0,0,0,0,0,0
13,4,39.0,0.2976361,14,71.0,0.2076151,3,92.0,0.3900272,26,58.0,0.4818974,19,0,0,0,0,0,0
2,1,95.0,0.334463,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6,66.0,0.08151759,17,83.0,0.4781213,8,30.0,0.367729,9,82.0,0.1972631,21,104.0,0.2470152,28,104.0,0.1693179,29
4,1,42.0,0.1382244,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4,77.0,0.4808874,24,17.0,0.05418535,19,15.0,0.2800722,24,119.0,0.2367433,25,0,0,0,0,0,0
1,1,32.0,0.1592414,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,6,25.0,0.1632148,29,20.0,0.4910225,29,15.0,0.5099651,12,69.0,0.04730709,18,29.0,0.04287429,15,30.0,0.1210402,9
5,2,34.0,0.2826765,10,30.0,0.2104927,8,0,0,0,0,0,0,0,0,0,0,0,0
6,3,14.0,0.4765179,8,119.0,0.2892379,24,92.0,0.1272722,7,0,0,0,0,0,0,0,0,0
15,6,73.0,0.1960259,8,17.0,0.2675929,3,71.0,0.4752811,19,119.0,0.147775,10,108.0,0.08928432,4,28.0,0.24023,24
0,1,71.0,0.2681742,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,5,99.0,0.4619418,27,95.0,0.2342189,9,58.0,0.1005263,28,17.0,0.4908613,24,102.0,0.5024772,2,0,0,0
9,4,12.0,0.3725608,28,103.0,0.04380746,1,86.0,0.02164317,15,91.0,0.03840996,4,0,0,0,0,0,0
4,5,43.0,0.1616538,2,47.0,0.2929004,20,71.0,0.3241814,3,117.0,0.1812146,13,45.0,0.06631936,21,0,0,0
4,1,9.0,0.07362993,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,102.0,0.4400101,23,82.0,0.1424451,18,54.0,0.4934253,8,118.0,0.1405871,5,0,0,0,0,0,0
24,6,72.0,0.1352223,12,10.0,0.3649097,23,31.0,0.5085521,9,39.0,0.2522594,27,69.0,0.01640655,11,41.0,0.1763962,27
9,3,72.0,0.4407956,25,48.0,0.01349539,8,77.0,0.1885479,6,0,0,0,0,0,0,0,0,0
25,5,51.0,0.4607055,9,37.0,0.02164437,17,70.0,0.3319348,20,83.0,0.05447496,29,11.0,0.4138243,18,0,0,0
1,2,94.0,0.5005619,14,107.0,0.4292654,17,0,0,0,0,0,0,0,0,0,0,0,0
13,4,84.0,0.1470679,9,69.0,0.3621622,22,63.0,0.02029015,23,38.0,0.08978672,21,0,0,0,0,0,0
1,2,80.0,0.196301,11,103.0,0.1772192,3,0,0,0,0,0,0,0,0,0,0,0,0
19,6,7.0,0.2719353,8,65.0,0.2366999,13,62.0,0.322295,24,41.0,0.3842826,16,46.0,0.2336807,11,16.0,0.08184029,22
0,2,44.0,0.5050021,2,97.0,0.3239024,3,0,0,0,0,0,0,0,0,0,0,0,0
3,2,37.0,0.02323635,2,55.0,0.3790701,19,0,0,0,0,0,0,0,0,0,0,0,0
0,3,62.0,0.3684817,7,36.0,0.04503192,2,80.0,0.2905667,21,0,0,0,0,0,0,0,0,0
2,2,93.0,0.05452879,12,91.0,0.4731729,7,0,0,0,0,0,0,0,0,0,0,0,0
25,5,52.0,0.1100226,29,105.0,0.3075903,19,105.0,0.4011659,6,28.0,0.5021361,14,43.0,0.3383076,19,0,0,0
21,6,107.0,0.1903603,24,94.0,0.03681536,5,93.0,0.05164643,26,46.0,0.4603254,16,40.0,0.2355566,21,58.0,0.04536106,14
